Id,AgeGrp,Gender,DGI,IGI,GD,Game_titles,Action_adventure,MOBA,Other,Shooters,Card_games,Strategy,RPG,Sport_games,Simulation,Puzzle,MMORPG,Driving,Battle_royale,Survival_horror,Platform,Fighting,GMI_Advancement,GMI_Amotivation,GMI_Autonomy,GMI_Boredom,GMI_Competence,GMI_Competition,GMI_Completion,GMI_Coping,GMI_Escape,GMI_Exploration_Mechanics,GMI_Fantasy,GMI_Financial,GMI_Gameskills,GMI_Identity,GMI_Introjected_regulation,GMI_Recreation,GMI_Skill_development,GMI_Social,GMI_Status,GMI_Arousal_action,GMI_Cooperation,GMI_Customization,GMI_Destruction,GMI_Graphics,GMI_Story,GMI_Strategy,GMI_MasteryHO,GMI_ImmersionHO,GMI_CompetitionHO,GMI_StimulationHO,GMI_SocialHO,GMI_HabitBoredomHO
44620542,1,1,25,43,11,"Team Fortress - 10h, Hades - 4h, Muse Dash - 2h",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,8,14,10,10,17,14,8,17,16,16,6,21,13,14,14,16,9,8,16,4,17,11,21,18,18,16.38,13.14,9.71,16.00,10.33,9.00
45186768,1,2,11,16,9,The binding of isaac - 20h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,14,11,9,13,15,15,20,19,12,3,19,11,3,19,20,10,13,21,9,14,10,12,14,13,15.88,12.00,9.00,14.33,10.67,15.50
44690573,3,1,34,44,4,The Last of us,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,28,18,17,21,20,21,24,28,25,21,28,26,7,21,28,28,21,28,21,21,19,21,21,21,24.38,21.14,14.43,22.67,23.33,10.00
44618447,3,1,7,61,13,"the sims - 10 h, harry potter - 6 h",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,6,16,12,14,15,15,14,18,19,19,12,19,21,14,15,17,20,15,21,14,15,15,15,16,15,16.38,16.57,11.14,17.00,16.33,9.00
45412888,2,1,18,25,5,"The sims - 20h, LOL - 5h,",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,20,2,5,8,6,6,6,4,19,4,9,10,9,3,17,12,10,7,14,15,21,3,21,20,18,12.88,5.14,3.71,12.67,14.33,12.50
44693730,2,1,23,133,9,The Sims 12h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,16,8,6,4,6,6,4,15,6,3,15,9,3,8,12,7,4,8,6,20,3,20,17,3,11.88,7.14,3.86,10.33,5.33,6.50
44687373,1,1,60,33,7,"The Sims 3 - 5h , The Sims 4 - 4h , Minecraft - 5h , Cities: Skylines - 1h , Don't Starve Together - 2h , Planet Zoo - 5h",1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,6,2,24,3,5,7,3,14,8,19,15,5,15,18,3,20,10,14,5,9,11,16,4,12,19,12,13.13,12.43,3.71,8.33,12.33,2.50
44934081,1,1,17,54,10,"The sims 4 - 10, League of Legends - 3, Fall guys - 3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20,21,5,17,16,15,18,14,21,21,21,6,20,25,8,18,19,21,6,21,18,19,13,18,21,14,17.00,15.71,9.00,17.33,17.67,19.00
44619072,1,1,13,31,4,"The Sims 4 - 8h, GTA4 - 5h",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,18,11,15,9,12,15,19,20,18,3,21,13,3,19,20,7,5,27,10,19,13,20,20,19,17.88,14.43,7.57,20.00,12.00,7.00
44575864,2,1,14,0,5,The sims 4-15h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,19,19,7,13,3,14,12,7,8,3,9,8,3,21,5,10,5,15,11,21,7,13,18,14,11.50,10.14,3.43,11.67,11.67,11.00
