ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2ZKPzu9jQ9WIX69,SUNYfredonia,1,2,3,2,4,2,2,1,6,1,2,3,7,60,32,30,59,37,23,74,33,20,25,33
R_1iszxvuzMHSmWX7,SUNYfredonia,2,2,1,3,2,2,8,1,2,1,2,1,3,69,35,31,29,40,28,83,45,20,25,40
R_2VwDe6RV8yqOzkQ,SUNYfredonia,2,2,2,4,4,2,2,2,2,1,2,2,2,74,34,29,55,39,30,46,30,21,25,36
R_1P7XLXnyIDBbocB,SUNYfredonia,1,2,2,2,5,2,2,2,5,1,2,2,5,58,33,30,72,31,37,72,22,18,25,33
R_rjYJvi9OIHWKiOt,SUNYfredonia,1,1,4,1,1,2,2,4,3,1,1,4,4,67,38,29,47,42,20,60,49,19,25,35
R_1ikeYw7CgYL14hN,SUNYfredonia,1,2,3,1,2,2,2,1,4,1,2,3,3,60,37,31,83,35,36,81,40,22,26,27
R_w0NzIzu6KXyqOBz,SUNYfredonia,2,5,5,4,4,2,2,1,5,1,5,5,3,63,38,30,43,35,32,76,30,20,26,38
R_3RmDTewm8tap0IB,SUNYfredonia,2,2,2,3,3,1,2,1,1,1,2,2,4,67,29,28,56,33,30,63,39,19,26,30
R_2R2MplNTPha6mFP,SUNYfredonia,1,4,5,4,3,1,2,3,1,1,4,5,3,69,35,32,50,48,32,80,33,22,26,37
R_2q8UTmyylKUrYJQ,SUNYfredonia,1,2,3,4,4,2,2,3,7,1,2,3,3,70,44,31,45,41,26,70,38,22,26,34
R_2YE9qCBJVjOY7Kt,SUNYfredonia,1,2,2,5,5,2,2,1,5,1,2,2,8,78,35,32,39,38,30,84,11,23,27,38
R_1pAVg6f8bRjrszH,SUNYfredonia,2,2,1,5,5,2,2,1,4,1,2,1,1,73,35,32,48,43,27,77,44,20,27,35
R_Qm4WhVM2oEbTJrr,SUNYfredonia,3,2,1,2,1,2,2,1,6,1,2,1,5,67,38,22,53,33,35,71,32,20,27,36
R_soIZEDHfgWRsX73,SUNYfredonia,2,4,4,1,4,2,2,1,6,1,4,4,4,62,33,31,67,40,29,83,43,19,27,35
